省份,区号,站名,纬度,经度,气压传感器海拔高度,观测场海拔高度
贵州,56598 ,赫章,27.08,104.44,1538.1 ,1535.1 
贵州,56691 ,威宁,26.52,104.17,2238.6 ,2237.5 
贵州,56792 ,普安,25.47,104.58,1648.5 ,1649.4 
贵州,56793 ,盘县,25.43,104.28,1796.0 ,1800
贵州,57606 ,桐梓,28.08,106.5,972.7 ,972
贵州,57623 ,道真,28.53,107.36,684.6,685.6 
贵州,57625 ,正安,28.33,107.27,678.2 ,679.7 
贵州,57634 ,务川,28.31,107.53,658.0 ,660.3 
贵州,57636 ,沿河,28.34,108.3,335.4 ,334.6 
贵州,57637,德江,28.15,108.06,630.5 ,629.5 
贵州,57647 ,松桃,28.09,109.11,406.9 ,406.1 
贵州,57707 ,毕节,27.18,105.17,1511.5 ,1510.6 
贵州,57708 ,大方,27.09,105.36,1701.2 ,1700.0 
贵州,57710 ,仁怀,27.48,106.24,891.0 ,890.3
贵州,57714 ,金沙,27.28,106.14,943.0 ,942
贵州,57717 ,遵义县,27.32,106.5,975.0 ,974.1
贵州,57718,息烽,27.06,106.43,1113.2 ,1112.1 
贵州,57719 ,开阳,27.04,106.58,1280.7 ,1275.6 
贵州,57722 ,湄潭,27.46,107.28,792.9 ,792.2 
贵州,57723 ,凤冈,27.59,107.43,709.1 ,710.2 
贵州,57728 ,瓮安,27.04,107.28,1097.9 ,1096.7 
贵州,57729 ,余庆,27.14,107.53,621.3 ,622.1 
贵州,57731 ,思南,27.57,108.15,417.7 ,416.8 
贵州,57732 ,印江,28.01,108.24,458.0 ,456.5 
贵州,57734 ,石阡,27.34,108.14,468.5 ,467.5 
贵州,57735 ,岑巩,27.11,108.49,405.3 ,404.3
贵州,57736 ,江口,27.42,108.51,370.7 ,369.2 
贵州,57737 ,施秉,27.02,108.07,548.3 ,547.3 
贵州,57738 ,镇远,27.03,108.25,517.0 ,516.3 
贵州,57739 ,玉屏,27.14,108.55,391.2 ,394.8
贵州,57741 ,铜仁,27.43,109.11,283.5 ,282.7 
贵州,57742 ,万山,27.31,109.12,885.3 ,884.3 
贵州,57800 ,纳雍,26.46,105.22,1458.6 ,1457.1 
贵州,57803 ,黔西,27.02,106.01,1234.5 ,1231.4
贵州,57805 ,织金,26.41,105.46,1320.8 ,1319.3 
贵州,57806 ,安顺,26.15,105.54,1430.5 ,1431.1 
贵州,57807 ,六枝,26.12,105.28,1363.2 ,1361.9 
贵州,57808 ,普定,26.19,105.45,1275.7 ,1274.5
贵州,57809 ,镇宁,26.04,105.45,1252.0 ,1251.0 
贵州,57811 ,修文,26.5,106.36,1296.7,1296.7
贵州,57814 ,平坝,26.25,106.16,1299.2 ,1298.2 
贵州,57816 ,贵阳,26.35,106.44,1224.9 ,1223.8 
贵州,57821 ,福泉,26.42,107.3,926.5 ,925
贵州,57822 ,黄平,26.54,107.54,836.5 ,835
贵州,57824 ,贵定,26.35,107.14,1005.7 ,1001
贵州,57825 ,凯里,26.36,107.59,721.2 ,720.3 
贵州,57827 ,都匀,26.19,107.32,970.2 ,969.1
贵州,57828 ,麻江,26.3,107.35,983.9 ,983.8 
贵州,57829 ,丹寨,26.12,107.48,964.2 ,963.2 
贵州,57832 ,三穗,26.58,108.4,627.8 ,626.9 
贵州,57834 ,台江,26.41,108.18,643.1 ,641.3 
贵州,57835 ,剑河,26.43,108.26,528.4 ,527.2 
贵州,57837 ,雷山,26.24,108.04,840.0 ,839.0 
贵州,57839 ,黎平,26.14,109.09,569.4 ,568.8 
贵州,57840 ,天柱,26.54,109.12,402.4 ,401.4 
贵州,57844 ,锦屏,26.41,109.11,344.0 ,343.0 
贵州,57900 ,晴隆,25.5,105.13,1553.6 ,1552.7 
贵州,57902 ,兴仁,25.26,105.11,1379.3 ,1378.5 
贵州,57903 ,关岭,25.56,105.36,1138.4 ,1142.0 
贵州,57905 ,贞丰,25.24,105.38,1063.8 ,1063.3 
贵州,57906 ,望谟,25.11,106.05,567.0 ,566.8 
贵州,57907 ,兴义,25.05,104.54,1300.7 ,1299.6 
贵州,57908 ,安龙,25.07,105.29,1393.5 ,1394.5 
贵州,57909 ,册亨,24.59,105.49,584.8 ,584.8 
贵州,57910 ,紫云,25.46,106.05,1198.8 ,1197.6 
贵州,57911 ,白云,26.4,106.39,1324.2 ,1323.0 
贵州,57912 ,惠水,26.08,106.38,992.1 ,990.9 
贵州,57913 ,龙里,26.27,106.59,1094.7 ,1093.7 
贵州,57914 ,花溪,26.25,106.4,1149.8 ,1149.0 
贵州,57915 ,乌当,26.38,106.46,1104.9 ,1104.0 
贵州,57916 ,罗甸,25.26,106.46,440.1 ,440.3 
贵州,57921 ,平塘,25.5,107.19,710.2 ,708.7 
贵州,57922 ,独山,25.5,107.33,1015.5 ,1013.3 
贵州,57923 ,三都,25.59,107.52,418.5 ,419.0 
贵州,57926 ,荔波,25.25,107.53,432.9 ,428.7 
贵州,57932 ,榕江,25.58,108.32,288.8 ,285.7 
贵州,57936 ,从江,25.45,108.55,259.1 ,258.1 
